comment,likes,replies,engagement,label,length,clean_comment,label_id
sedih banget liatnya ,9,0,9,positif,21,sedih banget liatnya,2
akhirnya ad juga yg ngejelasin kan pakai vidio,12,0,12,positif,46,akhirnya ad juga yg ngejelasin kan pakai vidio,2
disini tuh yg kesalah sdm emng kita aje rendah kejadian kereta ketabrak gara trobos palang pintu kereta bukan kali tapi udah sering mkn klo ada sdm tolol bego yg sering trobos palang pintu kereta pecahin aje kepala kg ada guna nya,11,2,13,negatif,230,disini tuh yg kesalah sdm emng kita aje rendah kejadian kereta ketabrak gara trobos palang pintu kereta bukan kali tapi udah sering mkn klo ada sdm tolol bego yg sering trobos palang pintu kereta pecahin aje kepala kg ada guna nya,0
kenapa dijaman yang canggih ini masih ada orang yang bilang kereta harus ngerem mendadak harus ngerem mendadak hai bos dinegara manapun kayanya kereta itu ngeremnya bertahap ga ada yang ngerem settt kaya motor ngerem cakram kereta sebegitu beratnya trek kereta juga diatas rel bukan dijalan raya yang bisa dicengkram roda secara cepat roda kereta juga bukan karet yang napak diatas aspal yang bisa diajak ngerem mendadak,5,0,5,negatif,420,kenapa dijaman yang canggih ini masih ada orang yang bilang kereta harus ngerem mendadak harus ngerem mendadak hai bos dinegara manapun kayanya kereta itu ngeremnya bertahap ga ada yang ngerem settt kaya motor ngerem cakram kereta sebegitu beratnya trek kereta juga diatas rel bukan dijalan raya yang bisa dicengkram roda secara cepat roda kereta juga bukan karet yang napak diatas aspal yang bisa diajak ngerem mendadak,0
masinis nya gimna,9,0,9,negatif,17,masinis nya gimna,0
perlintasan itu prioritas kereta kalau ada yang nerobos dampaknya bisa panjang ke operasional lain kasus ini kelihatan kayak efek berantai bukan satu kesalahan tunggal orang suka nyalahin yang keliatan besar padahal pemicunya bisa dari hal kecil kayak nerobos perlintasan,5,0,5,negatif,271,perlintasan itu prioritas kereta kalau ada yang nerobos dampaknya bisa panjang ke operasional lain kasus ini kelihatan kayak efek berantai bukan satu kesalahan tunggal orang suka nyalahin yang keliatan besar padahal pemicunya bisa dari hal kecil kayak nerobos perlintasan,0
coba aja sgnalnya gk error,9,4,13,negatif,26,coba aja sgnalnya gk error,0
yang salah insfratruktur nya,10,4,14,negatif,28,yang salah insfratruktur nya,0
oke berati ini ada campur masalah dengan human error informasi keselamatan tersampaikan dengan lampu indikator tapi sayang nya informasi itu gagal tersampaikan nah masa dari kai gak ada proteksi gitu jika informasi  gagal tersampaikan,13,3,16,negatif,234,oke berati ini ada campur masalah dengan human error informasi keselamatan tersampaikan dengan lampu indikator tapi sayang nya informasi itu gagal tersampaikan nah masa dari kai gak ada proteksi gitu jika informasi gagal tersampaikan,0
kenapa taxi yang di salahin bgkak,0,1,1,negatif,33,kenapa taxi yang di salahin bgkak,0
jujur kereta kalau rem tuh lama,3,1,4,netral,31,jujur kereta kalau rem tuh lama,1
banyak yg nyalahin taksi udah jelas di sini ada  kesalahan  kesalahan taksi mogok tengah rel dan  kesalahan sistem sinyal masuk stasiun bekasi timur di tambah tidak fokus nya petugas di stasiun bahwasanya masih ada ka argo bromo yg ingin melintas langsung,4,2,6,netral,255,banyak yg nyalahin taksi udah jelas di sini ada kesalahan kesalahan taksi mogok tengah rel dan kesalahan sistem sinyal masuk stasiun bekasi timur di tambah tidak fokus nya petugas di stasiun bahwasanya masih ada ka argo bromo yg ingin melintas langsung,1
intinya kereta udh ounya jalur sendiri apapun yv menghalangin kereta laju jan salahin keretaaaa,14,0,14,negatif,95,intinya kereta udh ounya jalur sendiri apapun yv menghalangin kereta laju jan salahin keretaaaa,0
yg kepo juga ada kyanya kereta kdua,5,0,5,netral,35,yg kepo juga ada kyanya kereta kdua,1
kalian yang lagi di jalan trus nunggu kereta lewat plis sabaran dikit ga mungkin kan ngabisin waktu kalo udah gini mau di gimana in nasi udah jadi bubur,6,0,6,positif,152,kalian yang lagi di jalan trus nunggu kereta lewat plis sabaran dikit ga mungkin kan ngabisin waktu kalo udah gini mau di gimana in nasi udah jadi bubur,2
gmna kabar supir taxi itu ada klarifikasi ga,6,0,6,netral,44,gmna kabar supir taxi itu ada klarifikasi ga,1
banyak ahli teknisi sampai it sistem kai disini,10,0,10,netral,47,banyak ahli teknisi sampai it sistem kai disini,1
butterfly effect berawal dari taksi,6,0,6,netral,35,butterfly effect berawal dari taksi,1
itu sinyal nya harusnya merah sblm ka argo lewatin sinyal itu ya,6,0,6,negatif,64,itu sinyal nya harusnya merah sblm ka argo lewatin sinyal itu ya,0
problem still on signal error too,19,1,20,negatif,33,problem still on signal error too,0
emang salah mobilnyatapi masa sistem keamanan atau prosedur kai ga ada untuk menghadapi situasi sperti itu,28,6,34,netral,106,emang salah mobilnyatapi masa sistem keamanan atau prosedur kai ga ada untuk menghadapi situasi sperti itu,1
oh ini berarti  kejadian dalam satu waktu ya,4,7,11,netral,44,oh ini berarti kejadian dalam satu waktu ya,1
maksih bg akhirnya gue paham masalah nya,10,0,10,positif,40,maksih bg akhirnya gue paham masalah nya,2
bisa dituntut ga ini perusahaan taxi,44,3,47,negatif,36,bisa dituntut ga ini perusahaan taxi,0
sticker wrong server,6,0,6,netral,20,sticker wrong server,1
hai semuanya aku cuma mau mengungkapkan pelajaran yang harus diambil dari kejadian ini kita harus semakin sadar akan tata tertib yang ada ya semoga buat kalian yang masih suka nerobos kalo ada sirine tanda kereta jangan pernah lakuin hal itu lagi ya,4,2,6,positif,249,hai semuanya aku cuma mau mengungkapkan pelajaran yang harus diambil dari kejadian ini kita harus semakin sadar akan tata tertib yang ada ya semoga buat kalian yang masih suka nerobos kalo ada sirine tanda kereta jangan pernah lakuin hal itu lagi ya,2
trussss yg bawa taxi kemna,6,0,6,negatif,26,trussss yg bawa taxi kemna,0
jujur walopun banyak yg nyudutin kai menurut gw taxi yg andil nya paling gede itu argo bromo jalannya cepet bgt wee mana bisa tbtb disuruh rem dadakan yg ada gerbong belakang itu oleng lah kyk kita kadang yg bawa motor ngerem dadakan aja agak oleng apalagi kendaraan yg panjang kyk gitu,7,0,7,netral,286,jujur walopun banyak yg nyudutin kai menurut gw taxi yg andil nya paling gede itu argo bromo jalannya cepet bgt wee mana bisa tbtb disuruh rem dadakan yg ada gerbong belakang itu oleng lah kyk kita kadang yg bawa motor ngerem dadakan aja agak oleng apalagi kendaraan yg panjang kyk gitu,1
perhatiin pas kereta langsung melintas signal hijau tepat badan di tengah badan kereta berubah menjadi merah ya gak kesampean ngeremini kereta bukan honda beat,9,0,9,netral,159,perhatiin pas kereta langsung melintas signal hijau tepat badan di tengah badan kereta berubah menjadi merah ya gak kesampean ngeremini kereta bukan honda beat,1
when kalo nggak error,0,1,1,negatif,21,when kalo nggak error,0
turut berduka semoga korban ditwmpatkan ditempat yang baik dan keluarga yg ditinggalkan di beri ketabahan,25,0,25,positif,105,turut berduka semoga korban ditwmpatkan ditempat yang baik dan keluarga yg ditinggalkan di beri ketabahan,2
semuanya salaaaahhhsistemnya taksi listriknya tiba mogok sistem sekelas kai masih aja bobrok pajak doang digedein fasilitas masih bobrok,9,0,9,netral,136,semuanya salaaaahhhsistemnya taksi listriknya tiba mogok sistem sekelas kai masih aja bobrok pajak doang digedein fasilitas masih bobrok,1
setelah lihat ini ga berani naik gerbong depan atau belakang mau di tengah aja ,13,4,17,netral,79,setelah lihat ini ga berani naik gerbong depan atau belakang mau di tengah aja,1
ini yg di lemah abang bukan sih,0,1,1,netral,31,ini yg di lemah abang bukan sih,1
di jalan itu ga ada palang kereta ya sampai taksi bisa nerobos padahal kereta udh deket,10,0,10,negatif,87,di jalan itu ga ada palang kereta ya sampai taksi bisa nerobos padahal kereta udh deket,0
sinyal error apa human error ,4,1,5,netral,29,sinyal error apa human error,1
yg perusahaan taxi ini udah minta maaf blompasti blom,4,1,5,negatif,53,yg perusahaan taxi ini udah minta maaf blompasti blom,0
taxi yang salah intinya,4,1,5,negatif,23,taxi yang salah intinya,0
penjelasan ny jelas banget,1,1,2,positif,26,penjelasan ny jelas banget,2
kebanyakan org ngira nya kejadian cuma krte  ternyata ,1,1,2,netral,54,kebanyakan org ngira nya kejadian cuma krte ternyata,1
ingat ya yang salah bukan cuma taksi ijo aja tapi juga sistem internal kai yang sedang ada gangguan atau error sehingga kereta ka argo bromo terus melaju walaupun ada kereta di depannya,1,2,3,netral,185,ingat ya yang salah bukan cuma taksi ijo aja tapi juga sistem internal kai yang sedang ada gangguan atau error sehingga kereta ka argo bromo terus melaju walaupun ada kereta di depannya,1
kalau yg bromo itu salahnya kai sih  bukan salah mobil taxi itu lagi ,4,1,5,netral,69,kalau yg bromo itu salahnya kai sih bukan salah mobil taxi itu lagi,1
taksi greensm menutup komentar,24,3,27,negatif,30,taksi greensm menutup komentar,0
yang pada belain si taksi pada kenapa si weh  awal mula adanya masalah kan karna si taksi mogok ini kereta padahal yang lagi di stasiun udah mau berangkat karna adanya si taksi jadinya ga bisa lewat ege,4,2,6,negatif,202,yang pada belain si taksi pada kenapa si weh awal mula adanya masalah kan karna si taksi mogok ini kereta padahal yang lagi di stasiun udah mau berangkat karna adanya si taksi jadinya ga bisa lewat ege,0
yg punya jalan khusus aja disalahin wkwkjgn sibuk salah salahan intinya sisupir masa ga denger kereta mau datang setau saya jika kereta mau melintas juga ada suara peringatan atau palang yg melarang kendaraan lain melintas,4,1,5,negatif,222,yg punya jalan khusus aja disalahin wkwkjgn sibuk salah salahan intinya sisupir masa ga denger kereta mau datang setau saya jika kereta mau melintas juga ada suara peringatan atau palang yg melarang kendaraan lain melintas,0
padahal kata warga sekitar di perlintasan itu tidak resmi dan tidak untuk mobil,1,1,2,negatif,79,padahal kata warga sekitar di perlintasan itu tidak resmi dan tidak untuk mobil,0
oh jdi ginidr td masih bingung,19,6,25,positif,30,oh jdi ginidr td masih bingung,2
tapi emng bener sih ini salah dari taxi nya tapi sebagai jaga kalau ada kejadian gini lagi harus di tingkatkan lagi ini keamanan nya,16,0,16,netral,132,tapi emng bener sih ini salah dari taxi nya tapi sebagai jaga kalau ada kejadian gini lagi harus di tingkatkan lagi ini keamanan nya,1
bukan signal error itu kan signal kereta mirip lampu merah dan diliat secara visual kepala kereta udah ngelewatin lampu sinyal pas masih ijo dan pas udah lewat baru lampunya jadi merah kereta tuh ga kyk pesawat yg ada atc nya,13,0,13,netral,225,bukan signal error itu kan signal kereta mirip lampu merah dan diliat secara visual kepala kereta udah ngelewatin lampu sinyal pas masih ijo dan pas udah lewat baru lampunya jadi merah kereta tuh ga kyk pesawat yg ada atc nya,1
taxi ijo langsung tutup kome ig,31,0,31,negatif,31,taxi ijo langsung tutup kome ig,0
fix aku yang salah,5,0,5,netral,18,fix aku yang salah,1
"lagi lagi  faktor
karna ada kendaraan yang berhenti
signal peringatan eror",5,0,5,netral,74,lagi lagi faktor karna ada kendaraan yang berhenti signal peringatan eror,1
taxi salah tapi sistem juga harus diperbaiki kalopun bukan taksi apapun itu yang jadi halangannya sistem harus bisa mencegah kejadian selanjutnya,5,0,5,negatif,145,taxi salah tapi sistem juga harus diperbaiki kalopun bukan taksi apapun itu yang jadi halangannya sistem harus bisa mencegah kejadian selanjutnya,0
buat semua kalo buru jgn egois ya karena dampak yg kita timbulkan bisa menyebabkan bahaya bagi diri sendiri dan orang lain ttep stay save semua semoga para korban dan keluarga yg ditinggalkan diberi ketabahan,5,0,5,positif,208,buat semua kalo buru jgn egois ya karena dampak yg kita timbulkan bisa menyebabkan bahaya bagi diri sendiri dan orang lain ttep stay save semua semoga para korban dan keluarga yg ditinggalkan diberi ketabahan,2
pantes tmn gua gamau naik kreta gerbong depanblakangdia lebih milih sempitan di tengah,5,0,5,netral,86,pantes tmn gua gamau naik kreta gerbong depanblakangdia lebih milih sempitan di tengah,1
ur government need to improve the transportation system by right system should trigger all train to stop if  train encounter emergency accident,5,0,5,netral,143,ur government need to improve the transportation system by right system should trigger all train to stop if train encounter emergency accident,1
mau bagai manapun sudah terjadi yang terpenting bagaimana agar tidak terjadi lagi harus ada improvement,6,0,6,positif,103,mau bagai manapun sudah terjadi yang terpenting bagaimana agar tidak terjadi lagi harus ada improvement,2
how did this get viral fast,5,0,5,netral,27,how did this get viral fast,1
report taksinya sesama rakyat harus membantu yg sudah dirugikan,9,0,9,negatif,63,report taksinya sesama rakyat harus membantu yg sudah dirugikan,0
guys kalopun argo bromo di info depan ada krl dijalur si argo ga bisa tiba ngerem mendadak argo bromo itu kereta cepat kereta cepat butuh  km buat nurunin kecepatan,7,0,7,netral,164,guys kalopun argo bromo di info depan ada krl dijalur si argo ga bisa tiba ngerem mendadak argo bromo itu kereta cepat kereta cepat butuh km buat nurunin kecepatan,1
itu mobil siyapa sih cape banget,5,0,5,negatif,32,itu mobil siyapa sih cape banget,0
dahhh gw aja yg salah gaush brisik kelen,6,0,6,netral,40,dahhh gw aja yg salah gaush brisik kelen,1
pokoknya semua ini betasal dr mobil yg gak sabaran nunggu ka lewat titik,5,0,5,negatif,72,pokoknya semua ini betasal dr mobil yg gak sabaran nunggu ka lewat titik,0
apa tanggung jawab dari sopir taxinya,304,5,309,negatif,37,apa tanggung jawab dari sopir taxinya,0
tolong lahhh kalo lagi di jalan tuh sabar  apalgi ngelewatin rel kreta ibaratkan kita menumpang jalur nya dia  klo dia mau lewat ya di tunggu sebentar doang kok dia gakaya siput jalannya  hitung kita bisa istrahat sebentar saat nyetir sambil nungggu kreta lewat klo kaya gini bnyk yg di rugikan,8,0,8,positif,294,tolong lahhh kalo lagi di jalan tuh sabar apalgi ngelewatin rel kreta ibaratkan kita menumpang jalur nya dia klo dia mau lewat ya di tunggu sebentar doang kok dia gakaya siput jalannya hitung kita bisa istrahat sebentar saat nyetir sambil nungggu kreta lewat klo kaya gini bnyk yg di rugikan,2
ouh brrti ada  kereta ya  nbrk taxi jadi kereta  nya berhenti trus krt  nbrk krt  gitu ya,20,3,23,netral,89,ouh brrti ada kereta ya nbrk taxi jadi kereta nya berhenti trus krt nbrk krt gitu ya,1
terlepas dari taxi biang utamanya yang salah kai disini juga salah ngasih sinyal telat ke argo bromo anggrek,8,0,8,negatif,108,terlepas dari taxi biang utamanya yang salah kai disini juga salah ngasih sinyal telat ke argo bromo anggrek,0
ya allah semoga tidak ada korban jiwa ,9,6,15,positif,38,ya allah semoga tidak ada korban jiwa,2
gimana yaa kakk emang si taxi salah tp balik lagi udh takdirnya musibah gini kak semua pasti udh allah yg atur jadiin pembelajaran buat kita semua kak buat kedepannya dan untuk pengendara umum yg lewat di perlintasan kai tolong sabar gausah srabat srubut bukan cmn kamu aja yg punya kepentingan tp orang lain jg punya kepentingannya sendiri terutama keselamatan orang banyak yaa jujur denger kabar ini potek bgt hati karena aku klo naik kereta selalu milih di gerbong wanita mau depan mau belakang karena menurutku itu tempat ternyaman karena minim pelecehan khususnya perempuan yaa dan lebih pede aja karena di gerbong itu cmn wanita semua denger kabarnya potek hati mau dimanapun emng harus ttp jaga diri dan jangan lupa berdoa ya gess mau keluar pergi kemanapun kita gatau diperjalanan pulang kita gimana ntah kita dlm keadaan perjalanan pulang ataupun tidur gess kadang jg suka kaget klo naik kereta malam trs tau tau ada suara klakson kereta kenceng bgt dr samping mungkin itu kereta jarak jauh kah soalnya aku biasa bogor  manggarai  duri  tangerang ,10,0,10,positif,1056,gimana yaa kakk emang si taxi salah tp balik lagi udh takdirnya musibah gini kak semua pasti udh allah yg atur jadiin pembelajaran buat kita semua kak buat kedepannya dan untuk pengendara umum yg lewat di perlintasan kai tolong sabar gausah srabat srubut bukan cmn kamu aja yg punya kepentingan tp orang lain jg punya kepentingannya sendiri terutama keselamatan orang banyak yaa jujur denger kabar ini potek bgt hati karena aku klo naik kereta selalu milih di gerbong wanita mau depan mau belakang karena menurutku itu tempat ternyaman karena minim pelecehan khususnya perempuan yaa dan lebih pede aja karena di gerbong itu cmn wanita semua denger kabarnya potek hati mau dimanapun emng harus ttp jaga diri dan jangan lupa berdoa ya gess mau keluar pergi kemanapun kita gatau diperjalanan pulang kita gimana ntah kita dlm keadaan perjalanan pulang ataupun tidur gess kadang jg suka kaget klo naik kereta malam trs tau tau ada suara klakson kereta kenceng bgt dr samping mungkin itu kereta jarak jauh kah soalnya aku biasa bogor manggarai duri tangerang,2
memang sudah seharusnya perlintasan sebidang itu di tiadakan seiring bertambahnya jumlah kendaraan yang semakin banyak dan jadwal kereta yang padat semua harus berbenah dari internal kainya dari memperbaiki infrastruktur dan sistem yang terkait pengoprasian dan pengguna jalan rayanya juga untuk pengguna jalan raya harap turunkan ego berkendara kalian apabila melewati perlintasan sebidang dengan rel kereta,13,1,14,netral,408,memang sudah seharusnya perlintasan sebidang itu di tiadakan seiring bertambahnya jumlah kendaraan yang semakin banyak dan jadwal kereta yang padat semua harus berbenah dari internal kainya dari memperbaiki infrastruktur dan sistem yang terkait pengoprasian dan pengguna jalan rayanya juga untuk pengguna jalan raya harap turunkan ego berkendara kalian apabila melewati perlintasan sebidang dengan rel kereta,1
emang gak di maintenance sinyalnya aduh serem bgt,5,0,5,negatif,49,emang gak di maintenance sinyalnya aduh serem bgt,0
semua balik lg ke kelalaian dan takdir ,5,1,6,positif,39,semua balik lg ke kelalaian dan takdir,2
anjir  jam udah ratusan ribu like jirr ,5,1,6,netral,39,anjir jam udah ratusan ribu like jirr,1
greensm indonesia kontol,5,0,5,negatif,24,greensm indonesia kontol,0
izin ngambil video ya ,0,0,0,netral,22,izin ngambil video ya,1
pertanyaan pertama pikiran umum org  taxi ngapain bisa disitu,6,0,6,negatif,61,pertanyaan pertama pikiran umum org taxi ngapain bisa disitu,0
semoga di setiap langkah kita ada penjagaan yang tak terlihat yang selalu menyertai,5,0,5,positif,83,semoga di setiap langkah kita ada penjagaan yang tak terlihat yang selalu menyertai,2
sinyal perlintasan nya eror ,10,0,10,negatif,28,sinyal perlintasan nya eror,0
pertama salah taksi yg kedua karna sinyal eror dua kejadian diwaktu yg sama,12,0,12,negatif,75,pertama salah taksi yg kedua karna sinyal eror dua kejadian diwaktu yg sama,0
kai emg lalai karna di dunia yg serba canggih dia kurang tanggap utk kirim sinyal error tapi tetep aja yg salah taxi nya kalo tu taxi ga nerobos jg kai jd gaperlu repot kirim sinyal error jdwal gabakalan molor jadinya,7,0,7,negatif,217,kai emg lalai karna di dunia yg serba canggih dia kurang tanggap utk kirim sinyal error tapi tetep aja yg salah taxi nya kalo tu taxi ga nerobos jg kai jd gaperlu repot kirim sinyal error jdwal gabakalan molor jadinya,0
klo gada mobil disitu gk bakalan terjadi fix salah mobil,4,1,5,negatif,56,klo gada mobil disitu gk bakalan terjadi fix salah mobil,0
taxi nya yang salah,6,0,6,negatif,19,taxi nya yang salah,0
berarti ini satu kejadian apa  kejadian ditempat yg sama,4,1,5,netral,56,berarti ini satu kejadian apa kejadian ditempat yg sama,1
setau gw masinis krl itu kerja udh sesuai sop dan klo mau masuk st biasanya krl pelan jalan nya nah kemungkinan si taxi ini nyerobot mungkin gk sabaran tapi malah taxi nya mogok krna gw tiap hri lewat perlitasan ampera jdi tau klo emang perlintasan tsb tanpa palang kemungkinan krl udh di bulak kapal nah nih taxi nyerobot menurut gw loh ya,5,0,5,netral,340,setau gw masinis krl itu kerja udh sesuai sop dan klo mau masuk st biasanya krl pelan jalan nya nah kemungkinan si taxi ini nyerobot mungkin gk sabaran tapi malah taxi nya mogok krna gw tiap hri lewat perlitasan ampera jdi tau klo emang perlintasan tsb tanpa palang kemungkinan krl udh di bulak kapal nah nih taxi nyerobot menurut gw loh ya,1
gausah nyalahin siapasiapa musibah ga ada yg tau,7,0,7,positif,48,gausah nyalahin siapasiapa musibah ga ada yg tau,2
sticker yg salahin presiden,7,0,7,negatif,27,sticker yg salahin presiden,0
pak sopir taxi kalo keburu jangan ceroboh ,5,0,5,negatif,42,pak sopir taxi kalo keburu jangan ceroboh,0
makasih yang udah bikin video keren ini respect pray for victims ,4,0,4,positif,65,makasih yang udah bikin video keren ini respect pray for victims,2
sticker turut berdukacita,4,0,4,positif,25,sticker turut berdukacita,2
astaghfirullah yaa allah bermula dr mobil taxi jdi seperti ini apa susahnya sihh kita sabar nunggu sebentar sampai kereta lewat demi keamanan kita dan semuanyademi keamanan bersamaklo mau ada kereta lewat tuhhh kita tunggu ikuti aturan lalu lintas,4,0,4,positif,247,astaghfirullah yaa allah bermula dr mobil taxi jdi seperti ini apa susahnya sihh kita sabar nunggu sebentar sampai kereta lewat demi keamanan kita dan semuanyademi keamanan bersamaklo mau ada kereta lewat tuhhh kita tunggu ikuti aturan lalu lintas,2
uda kenyang nangisin ini asli karna lewat mulu di reels,4,0,4,positif,55,uda kenyang nangisin ini asli karna lewat mulu di reels,2
delay itu keretanya eror sinyal ,4,0,4,negatif,32,delay itu keretanya eror sinyal,0
"taxi ohhhhh taxi kerasukan apa kauuuuu
kepatuhan berlalu lintas sangat penting untuk keselamatan semuanya inilah untuk contoh dan pelajaran semua taatilah tata tertib lalulintas jangan melanggar dengan alasan apapun",4,0,4,netral,215,taxi ohhhhh taxi kerasukan apa kauuuuu kepatuhan berlalu lintas sangat penting untuk keselamatan semuanya inilah untuk contoh dan pelajaran semua taatilah tata tertib lalulintas jangan melanggar dengan alasan apapun,1
butterfly effect kah,1,1,2,netral,20,butterfly effect kah,1
masih jelas yg dijelasin ibu ibu ,5,0,5,netral,33,masih jelas yg dijelasin ibu ibu,1
sinyal error yeeeeeeeeeeeee,4,0,4,negatif,27,sinyal error yeeeeeeeeeeeee,0
itu sinyal gabisa merah soalnya sinyal sebelumnya ijo kalo sinyal sebelumnya ijo sinyal selanjutnya gaboleh merah harus kuning dulu baru sinyal setelah kuning boleh merah,4,0,4,negatif,170,itu sinyal gabisa merah soalnya sinyal sebelumnya ijo kalo sinyal sebelumnya ijo sinyal selanjutnya gaboleh merah harus kuning dulu baru sinyal setelah kuning boleh merah,0
ku kira kereta itu cuma  di jalurnya ternyata ada  kereta ya,7,0,7,netral,60,ku kira kereta itu cuma di jalurnya ternyata ada kereta ya,1
para rakyat harus ngerti kalau mobil udah terlalu dekat jangan nyebrang kalau bawa kendaraan mau lintas nyebrang jalur kereta pastikan pas aman kalau udah harus berenti jangan ngeyellll trus untuk pihak kai gw gak tau apa apa sih soal perkeretaan tapi semoga bisa dievaluasi sama ahlinya agar tidak ada sistem eror signal eror lagi kedepannya,4,0,4,netral,342,para rakyat harus ngerti kalau mobil udah terlalu dekat jangan nyebrang kalau bawa kendaraan mau lintas nyebrang jalur kereta pastikan pas aman kalau udah harus berenti jangan ngeyellll trus untuk pihak kai gw gak tau apa apa sih soal perkeretaan tapi semoga bisa dievaluasi sama ahlinya agar tidak ada sistem eror signal eror lagi kedepannya,1
ya allah nangisss,4,0,4,positif,17,ya allah nangisss,2
jadi ini  kereta berarti yang terlibat satu karena taxiyg dua itu nubruk gtu bukan maaf aku ga mudeng,8,6,14,netral,101,jadi ini kereta berarti yang terlibat satu karena taxiyg dua itu nubruk gtu bukan maaf aku ga mudeng,1
thanks bang jadi tau detail nya,16,0,16,positif,31,thanks bang jadi tau detail nya,2
okay i am so lost what happened,4,0,4,positif,31,okay i am so lost what happened,2
gabisa bayangin perasaan masinis argo bromo,4,0,4,positif,43,gabisa bayangin perasaan masinis argo bromo,2
salah mobil sih,4,0,4,negatif,15,salah mobil sih,0
masa sinyal error kebetulan banget pasti ada yang blunder,34,6,40,negatif,57,masa sinyal error kebetulan banget pasti ada yang blunder,0
kai juga punya tanggung jawab buat mengatasi kejadian begini bukan berarti sepenuhnya salah kai juga,3,0,3,netral,100,kai juga punya tanggung jawab buat mengatasi kejadian begini bukan berarti sepenuhnya salah kai juga,1
kenapa sinyal error coba,4,0,4,negatif,24,kenapa sinyal error coba,0
audit semua si taxi sama persinyalan kai harusnya siap dengan worst case kalau ada kereta blb berhenti luar biasa,4,0,4,netral,113,audit semua si taxi sama persinyalan kai harusnya siap dengan worst case kalau ada kereta blb berhenti luar biasa,1
itu tu  keretaa,0,1,1,netral,15,itu tu keretaa,1
izin nanya itu ngapa berhenti kereta no ngapa g lanjut aja apa karna mengevakuasi taxi ,1,1,2,netral,87,izin nanya itu ngapa berhenti kereta no ngapa g lanjut aja apa karna mengevakuasi taxi,1
sinyal itu dikendalikan manusia manual apa otomatis si,0,1,1,netral,54,sinyal itu dikendalikan manusia manual apa otomatis si,1
berarti karna signal error jg jd si argo gatau kalo ada signaall gt,4,0,4,netral,67,berarti karna signal error jg jd si argo gatau kalo ada signaall gt,1
yg salah taxi nya sih fixx,6,0,6,negatif,26,yg salah taxi nya sih fixx,0
"ga nau ngmng apa aahhhhh
soalnya aku ga tau tentang kereta dan jalur nyaaa",6,0,6,netral,74,ga nau ngmng apa aahhhhh soalnya aku ga tau tentang kereta dan jalur nyaaa,1
plis ya guys jgn lgsg adjustmen siapa yg salahinternal blm klarifikasi pnyebab utama signal error,6,0,6,positif,97,plis ya guys jgn lgsg adjustmen siapa yg salahinternal blm klarifikasi pnyebab utama signal error,2
sebenernya inti masalah di pihak kai nya sih padetnya jadwal mereka sih i mean mau sinyal nyala responsif pun kalo jarak antar kereta aja kurang dari  mnt agak susah kalo ada emergency case gini nah maka dari itu temporary countermeasure yg bisa dilakukan saat ini orang tuh yg tertibbb kalo di palang kereta apiii kalo mau nambah jalur atau apa kan butuh dana gede dan lama jdi ya paralel aja sama sadar selagi blm ditambah jalurnya yaa tertibbbbb susah bngt elah ga ada set jam juga,6,0,6,negatif,484,sebenernya inti masalah di pihak kai nya sih padetnya jadwal mereka sih i mean mau sinyal nyala responsif pun kalo jarak antar kereta aja kurang dari mnt agak susah kalo ada emergency case gini nah maka dari itu temporary countermeasure yg bisa dilakukan saat ini orang tuh yg tertibbb kalo di palang kereta apiii kalo mau nambah jalur atau apa kan butuh dana gede dan lama jdi ya paralel aja sama sadar selagi blm ditambah jalurnya yaa tertibbbbb susah bngt elah ga ada set jam juga,0
 store berawal dari  orang ga sabaran ,4,0,4,negatif,38,store berawal dari orang ga sabaran,0
gw juga kdng kesel jirr sama orng yg gk sabaran buat nunggu kereta lewat kek knp gk sabar shhh emng nunggu aja lama ya dngn nunggu sbntr lu jdi selamat sampe tujuan dkt rmh gw ada rel kereta nth udh bbrp kli ganti palang krn rusak gr yg gk sabaran mau lewat dan kai pun juga slh knp gk di cek lgi sinyal ny agar gk kejadian kek gini,5,0,5,negatif,332,gw juga kdng kesel jirr sama orng yg gk sabaran buat nunggu kereta lewat kek knp gk sabar shhh emng nunggu aja lama ya dngn nunggu sbntr lu jdi selamat sampe tujuan dkt rmh gw ada rel kereta nth udh bbrp kli ganti palang krn rusak gr yg gk sabaran mau lewat dan kai pun juga slh knp gk di cek lgi sinyal ny agar gk kejadian kek gini,0
"dari pada nyalahin si ini si itu mending kalian berdoa yang baikbaik aja terutama buat para korban dan team yang sudah bekerja dari malem hingga siang ini semua nanti akan di konfirmasi oleh pihak berwenang
tolong lah jadi rakyat yang cerdas jangan cuma suka nyalahin ini itu padahal akar masalahnya juga dari kitakita yang gak sabaran ini kan diluar itu semua ini udah takdir tuhan mau kalian nyalahin si ini itu mau di antisipasi kek apapun namanya kita manusia tempatnya salah gaada yg sempurna",5,0,5,positif,497,dari pada nyalahin si ini si itu mending kalian berdoa yang baikbaik aja terutama buat para korban dan team yang sudah bekerja dari malem hingga siang ini semua nanti akan di konfirmasi oleh pihak berwenang tolong lah jadi rakyat yang cerdas jangan cuma suka nyalahin ini itu padahal akar masalahnya juga dari kitakita yang gak sabaran ini kan diluar itu semua ini udah takdir tuhan mau kalian nyalahin si ini itu mau di antisipasi kek apapun namanya kita manusia tempatnya salah gaada yg sempurna,2
